date,region,product,sales_amount,units_sold
2023-01-01,North,Product C,10720.185550668864,121
2023-01-01,South,Product C,10025.924251331846,264
2023-01-01,East,Product B,13614.082273813208,358
2023-01-01,West,Product A,8868.78225162019,210
2023-01-02,North,Product D,6915.4017822504375,394
2023-01-02,South,Product B,8268.693085719606,237
2023-01-02,East,Product C,5517.414886140114,495
2023-01-02,West,Product D,7718.03183226101,180
2023-01-03,North,Product A,12581.934823905487,216
2023-01-03,South,Product B,10712.127607393584,102
2023-01-03,East,Product D,8194.159462374857,477
2023-01-03,West,Product B,9955.29547151726,130
2023-01-04,North,Product B,8880.857612161144,439
2023-01-04,South,Product A,8036.165915532891,240
2023-01-04,East,Product B,12725.4998819733,495
2023-01-04,West,Product C,11321.091241630975,264
2023-01-05,North,Product A,11115.465574717833,257
2023-01-05,South,Product D,14047.028272258362,459
2023-01-05,East,Product A,11434.620690225545,90
2023-01-05,West,Product A,8629.929265846384,376
2023-01-06,North,Product D,5890.758950020887,112
2023-01-06,South,Product C,12857.619713899754,468
2023-01-06,East,Product C,9042.357725074933,250
2023-01-06,West,Product D,11191.140662022157,456
2023-01-07,North,Product D,14179.16595121924,409
2023-01-07,South,Product C,7589.310320268252,150
2023-01-07,East,Product B,11134.653534395828,408
2023-01-07,West,Product C,8418.350797950266,112
2023-01-08,North,Product A,12362.53026917504,145
2023-01-08,South,Product C,10565.838313282029,286
2023-01-08,East,Product A,9462.077506914777,209
2023-01-08,West,Product D,13770.386653291656,115
2023-01-09,North,Product A,10818.2910578328,183
2023-01-09,South,Product D,8559.880720663055,335
2023-01-09,East,Product C,11657.491229867523,397
2023-01-09,West,Product A,10712.553977607993,426
2023-01-10,North,Product B,7112.464456030852,460
2023-01-10,South,Product C,8243.338612418867,283
2023-01-10,East,Product B,10620.814509831378,209
2023-01-10,West,Product A,12735.341526874208,367
2023-01-11,North,Product A,7134.439951507913,150
2023-01-11,South,Product B,15486.714434911599,392
2023-01-11,East,Product C,10459.696809955745,175
2023-01-11,West,Product D,8127.932155055692,247
2023-01-12,North,Product C,8967.711683717687,233
2023-01-12,South,Product D,9472.25703745357,374
2023-01-12,East,Product C,14689.856812861994,289
2023-01-12,West,Product C,10813.650884576062,375
2023-01-13,North,Product D,12152.651731276757,492
2023-01-13,South,Product C,9315.18477852863,196
2023-01-13,East,Product A,9239.834468989804,466
2023-01-13,West,Product D,5988.6151108542335,178
2023-01-14,North,Product B,13415.841585131475,200
2023-01-14,South,Product C,13165.066997449603,301
2023-01-14,East,Product A,9027.427405266939,353
2023-01-14,West,Product D,11566.017330425528,58
2023-01-15,North,Product D,9335.148276602424,180
2023-01-15,South,Product A,12345.09563670557,457
2023-01-15,East,Product B,13358.423241975184,276
2023-01-15,West,Product A,10737.89320246328,398
2023-01-16,North,Product B,7326.737384737366,359
2023-01-16,South,Product D,10619.229163778387,210
2023-01-16,East,Product D,9728.496442817164,453
2023-01-16,West,Product C,10374.072912401727,450
2023-01-17,North,Product C,7145.062430384311,420
2023-01-17,South,Product B,10622.204323318281,87
2023-01-17,East,Product D,11315.264727777563,332
2023-01-17,West,Product A,6868.908733790112,333
2023-01-18,North,Product D,12138.800485053518,366
2023-01-18,South,Product D,13221.56445015615,98
2023-01-18,East,Product B,8230.480017020445,148
2023-01-18,West,Product C,7217.670175599885,148
2023-01-19,North,Product A,8356.686291695636,305
2023-01-19,South,Product B,7645.895048126426,272
2023-01-19,East,Product C,12131.485683468181,204
2023-01-19,West,Product D,7108.420907609738,466
2023-01-20,North,Product C,9462.280970445934,219
2023-01-20,South,Product A,12042.607169033077,457
2023-01-20,East,Product A,12267.759792090623,85
2023-01-20,West,Product D,13342.021791054365,449
2023-01-21,North,Product D,9749.533589960713,264
2023-01-21,South,Product B,11702.629150705217,112
2023-01-21,East,Product B,11278.525690418535,375
2023-01-21,West,Product A,7093.79440821455,313
2023-01-22,North,Product A,11143.891788609384,152
2023-01-22,South,Product C,16575.86347403353,473
2023-01-22,East,Product A,8847.766042881249,169
2023-01-22,West,Product C,6717.236537599754,395
2023-01-23,North,Product A,12736.4976673207,178
2023-01-23,South,Product B,9530.059095828465,145
2023-01-23,East,Product D,13075.417662203008,286
2023-01-23,West,Product B,14179.99823841939,398
2023-01-24,North,Product D,8012.161888313483,484
2023-01-24,South,Product B,14006.61939973794,481
2023-01-24,East,Product B,12144.339601518506,271
2023-01-24,West,Product B,10358.360757286116,374
2023-01-25,North,Product B,11224.822553693619,299
2023-01-25,South,Product D,12013.684174777982,374
2023-01-25,East,Product D,14561.582544314377,296
2023-01-25,West,Product D,12735.2358043129,227
2023-01-26,North,Product A,9874.163527516972,228
2023-01-26,South,Product A,13218.773982240444,466
2023-01-26,East,Product A,10537.683713784563,446
2023-01-26,West,Product A,7420.197781628239,291
2023-01-27,North,Product D,10428.763756519078,142
2023-01-27,South,Product D,11609.839437097839,363
2023-01-27,East,Product A,14357.111588771437,425
2023-01-27,West,Product A,12572.119802686186,213
2023-01-28,North,Product D,9631.481094610106,276
2023-01-28,South,Product B,10713.753172653416,145
2023-01-28,East,Product A,10642.712076302249,317
2023-01-28,West,Product A,11173.824024890771,404
2023-01-29,North,Product B,11847.486490419848,446
2023-01-29,South,Product D,11968.724624265957,494
2023-01-29,East,Product D,10563.880243753074,101
2023-01-29,West,Product A,14542.771804933805,118
2023-01-30,North,Product C,7065.605392924834,102
2023-01-30,South,Product A,12380.810835580714,230
2023-01-30,East,Product C,9783.219329416468,171
2023-01-30,West,Product C,11181.004970413473,380
2023-01-31,North,Product A,13829.602917675402,279
2023-01-31,South,Product B,9731.080220366464,442
2023-01-31,East,Product A,12804.192385475486,78
2023-01-31,West,Product D,6236.988109749565,194
2023-02-01,North,Product C,13055.99528919192,324
2023-02-01,South,Product C,14261.619999497108,251
2023-02-01,East,Product D,10688.5500999431,175
2023-02-01,West,Product A,9668.256673233444,436
2023-02-02,North,Product C,11670.432496063893,418
2023-02-02,South,Product A,9369.197482938878,183
2023-02-02,East,Product D,10301.439431475359,423
2023-02-02,West,Product A,9710.931066300407,451
2023-02-03,North,Product C,9415.760184278153,464
2023-02-03,South,Product C,11033.354718533894,61
2023-02-03,East,Product A,9654.741544789424,57
2023-02-03,West,Product D,9381.024007081325,235
2023-02-04,North,Product A,8492.936263752168,90
2023-02-04,South,Product C,7356.392359884131,194
2023-02-04,East,Product A,7153.455772747247,269
2023-02-04,West,Product C,9546.59058700543,302
2023-02-05,North,Product A,12174.997733349584,352
2023-02-05,South,Product A,13216.367021806818,168
2023-02-05,East,Product B,11504.740599336457,273
2023-02-05,West,Product C,13256.58109138782,332
2023-02-06,North,Product A,10525.574192579004,148
2023-02-06,South,Product A,10249.931708337534,400
2023-02-06,East,Product C,11706.093702567487,102
2023-02-06,West,Product B,7488.729346708595,50
2023-02-07,North,Product B,12149.173299829397,498
2023-02-07,South,Product D,15143.188807946834,144
2023-02-07,East,Product B,9835.340938866484,487
2023-02-07,West,Product D,14217.387177679837,498
2023-02-08,North,Product B,16571.429609768395,300
2023-02-08,South,Product C,9441.427876879945,456
2023-02-08,East,Product B,14382.639064649846,124
2023-02-08,West,Product D,9881.732395979354,275
2023-02-09,North,Product B,8540.945514003359,384
2023-02-09,South,Product D,11611.907918162447,298
2023-02-09,East,Product D,12650.546612935577,79
2023-02-09,West,Product A,12642.948490857945,334
2023-02-10,North,Product D,9185.522162851608,118
2023-02-10,South,Product A,11800.039514497283,175
2023-02-10,East,Product C,11034.875597155224,160
2023-02-10,West,Product D,10874.094644999477,330
2023-02-11,North,Product A,12847.605543729303,209
2023-02-11,South,Product C,9601.973833372129,326
2023-02-11,East,Product A,8883.99671710287,71
2023-02-11,West,Product B,9182.84548294089,482
2023-02-12,North,Product A,13035.252236859847,331
2023-02-12,South,Product C,13923.85913584219,105
2023-02-12,East,Product A,10445.732751242725,57
2023-02-12,West,Product C,11422.596630842063,352
2023-02-13,North,Product B,6121.105973377186,77
2023-02-13,South,Product A,5989.215704827499,203
2023-02-13,East,Product B,12199.057272142838,412
2023-02-13,West,Product B,10186.696355911005,343
2023-02-14,North,Product A,9800.480951476875,168
2023-02-14,South,Product A,10717.513122692515,322
2023-02-14,East,Product D,8190.331108528682,74
2023-02-14,West,Product D,13039.350977273258,443
2023-02-15,North,Product C,13951.915636463436,277
2023-02-15,South,Product D,15403.394788866985,473
2023-02-15,East,Product A,9582.076489506328,150
2023-02-15,West,Product B,9776.433355904768,492
2023-02-16,North,Product B,10727.370899562,326
2023-02-16,South,Product D,9289.904236659822,399
2023-02-16,East,Product C,8679.624536401498,201
2023-02-16,West,Product D,9866.524881448122,457
2023-02-17,North,Product D,8945.924629050394,124
2023-02-17,South,Product A,11784.479191037,143
2023-02-17,East,Product A,9545.806698027278,243
2023-02-17,West,Product C,16282.544800556929,222
2023-02-18,North,Product B,11478.573578240472,373
2023-02-18,South,Product A,5797.847660867305,189
2023-02-18,East,Product D,9451.089251512665,87
2023-02-18,West,Product D,10396.34360281664,382
2023-02-19,North,Product B,10442.96123483067,59
2023-02-19,South,Product B,16964.992412212814,62
2023-02-19,East,Product C,10939.231952028413,150
2023-02-19,West,Product C,12181.0493159549,143
2023-02-20,North,Product A,13450.308254593368,425
2023-02-20,South,Product D,11289.685632765359,455
2023-02-20,East,Product D,12924.61914552382,335
2023-02-20,West,Product C,11474.987968206728,428
2023-02-21,North,Product A,12229.277937658893,286
2023-02-21,South,Product D,14359.09286698709,344
2023-02-21,East,Product A,12143.634054305745,471
2023-02-21,West,Product A,11695.254722729276,202
2023-02-22,North,Product B,6562.677529829047,358
2023-02-22,South,Product C,12777.3449458825,247
2023-02-22,East,Product D,12303.06772905986,91
2023-02-22,West,Product A,10507.920579692813,338
2023-02-23,North,Product D,12130.031750265187,206
2023-02-23,South,Product A,8840.950361530171,460
2023-02-23,East,Product C,13313.840272553467,379
2023-02-23,West,Product C,11017.507146548405,352
2023-02-24,North,Product A,11397.699847358313,206
2023-02-24,South,Product B,9912.657968290101,460
2023-02-24,East,Product D,14403.10922098877,331
2023-02-24,West,Product C,7736.901394273594,303
2023-02-25,North,Product D,12841.725000280672,72
2023-02-25,South,Product D,11543.196314533147,267
2023-02-25,East,Product A,16467.67400860253,160
2023-02-25,West,Product D,14772.763100921129,405
2023-02-26,North,Product A,13001.050531014875,100
2023-02-26,South,Product B,11384.074237064553,316
2023-02-26,East,Product A,9758.821339542123,395
2023-02-26,West,Product A,14586.596435953074,480
2023-02-27,North,Product D,9988.22996152617,362
2023-02-27,South,Product C,7210.771741074008,343
2023-02-27,East,Product B,7119.881556131713,396
2023-02-27,West,Product D,8975.764652585758,300
2023-02-28,North,Product C,10208.809796418716,229
2023-02-28,South,Product A,11490.011323381963,334
2023-02-28,East,Product D,15102.086154040859,419
2023-02-28,West,Product D,11016.146446750856,410
2023-03-01,North,Product D,9018.05949196183,112
2023-03-01,South,Product A,11817.211079463912,273
2023-03-01,East,Product C,11465.67911769294,489
2023-03-01,West,Product A,11695.229227708014,354
2023-03-02,North,Product D,10380.397187516472,68
2023-03-02,South,Product D,7569.879554941542,162
2023-03-02,East,Product C,8599.30472768133,181
2023-03-02,West,Product C,11280.199727423738,180
2023-03-03,North,Product B,8536.854930100428,211
2023-03-03,South,Product D,10998.929382940976,337
2023-03-03,East,Product A,14978.78858313578,362
2023-03-03,West,Product C,9338.8995966447,304
2023-03-04,North,Product A,11954.228856176063,141
2023-03-04,South,Product D,10690.88636901403,137
2023-03-04,East,Product C,13099.486591175571,449
2023-03-04,West,Product A,11132.218514067452,447
2023-03-05,North,Product C,11474.008379340403,379
2023-03-05,South,Product B,13359.594696457038,434
2023-03-05,East,Product B,13075.29543115474,435
2023-03-05,West,Product D,10977.016926893377,310
2023-03-06,North,Product A,11345.131904400196,275
2023-03-06,South,Product B,12077.820086798334,391
2023-03-06,East,Product B,11659.914141518591,169
2023-03-06,West,Product D,12147.397333410403,258
2023-03-07,North,Product A,8210.470270584361,89
2023-03-07,South,Product A,13947.233471771027,295
2023-03-07,East,Product B,14207.213596680413,491
2023-03-07,West,Product A,13042.906641777667,124
2023-03-08,North,Product B,14244.831125494082,405
2023-03-08,South,Product A,10733.658880203831,202
2023-03-08,East,Product A,13269.252745001671,411
2023-03-08,West,Product C,9783.365711142216,183
2023-03-09,North,Product A,12282.306029039697,358
2023-03-09,South,Product B,7099.971835196951,95
2023-03-09,East,Product D,11549.103639495746,420
2023-03-09,West,Product D,8075.160003311607,60
2023-03-10,North,Product C,11073.756341971597,281
2023-03-10,South,Product C,15815.365240842839,201
2023-03-10,East,Product A,11953.394400045649,299
2023-03-10,West,Product B,11168.38180305295,414
2023-03-11,North,Product B,9776.928441287626,122
2023-03-11,South,Product A,11010.140873975832,110
2023-03-11,East,Product C,14497.93005820609,340
2023-03-11,West,Product D,13064.927838853211,484
2023-03-12,North,Product C,8981.360522436284,150
2023-03-12,South,Product B,9728.161672845243,129
2023-03-12,East,Product A,13101.369341573609,130
2023-03-12,West,Product B,14910.688315232026,249
2023-03-13,North,Product C,8107.912421509371,108
2023-03-13,South,Product B,12586.18004313054,384
2023-03-13,East,Product D,12525.249166257545,377
2023-03-13,West,Product C,12468.237890117158,451
2023-03-14,North,Product B,14371.20126661018,208
2023-03-14,South,Product A,8378.418666981648,147
2023-03-14,East,Product B,13606.289929638295,232
2023-03-14,West,Product D,9135.148934818624,53
2023-03-15,North,Product B,12936.506977016252,210
2023-03-15,South,Product B,13546.311857116132,499
2023-03-15,East,Product C,12307.434016452935,428
2023-03-15,West,Product A,13801.406430270788,285
2023-03-16,North,Product C,13047.551437087932,426
2023-03-16,South,Product C,13961.26643283463,389
2023-03-16,East,Product C,12214.685256589697,478
2023-03-16,West,Product D,8318.245595997327,195
2023-03-17,North,Product D,7151.530035599691,189
2023-03-17,South,Product C,8998.024190137927,489
2023-03-17,East,Product B,13599.691292040286,382
2023-03-17,West,Product A,10031.984017339277,112
2023-03-18,North,Product B,11110.7316339344,379
2023-03-18,South,Product A,10369.50853934775,290
2023-03-18,East,Product C,14403.636778088903,226
2023-03-18,West,Product A,14940.939791611452,110
2023-03-19,North,Product B,8191.133552708192,111
2023-03-19,South,Product A,12403.797721393681,138
2023-03-19,East,Product B,16639.260547521106,316
2023-03-19,West,Product D,12305.06572721322,78
2023-03-20,North,Product D,12454.778970698955,74
2023-03-20,South,Product D,10858.914138614065,173
2023-03-20,East,Product A,8658.820692101635,225
2023-03-20,West,Product D,10642.535052852047,225
2023-03-21,North,Product A,11429.964604241626,163
2023-03-21,South,Product A,6278.744686952892,164
2023-03-21,East,Product B,13098.882311619922,89
2023-03-21,West,Product B,10785.700837631024,265
2023-03-22,North,Product A,14308.061991858125,108
2023-03-22,South,Product C,13335.63162074266,94
2023-03-22,East,Product C,14905.2658704805,204
2023-03-22,West,Product C,11811.932889917816,94
2023-03-23,North,Product C,11626.309292549791,486
2023-03-23,South,Product D,11800.370714042683,307
2023-03-23,East,Product C,14085.648548149415,499
2023-03-23,West,Product A,9338.966576577437,282
2023-03-24,North,Product D,11632.650991074523,497
2023-03-24,South,Product B,13422.394594374431,463
2023-03-24,East,Product B,10793.750158991654,368
2023-03-24,West,Product A,9516.795010812588,327
2023-03-25,North,Product B,12492.57052664536,373
2023-03-25,South,Product B,10520.601151037652,450
2023-03-25,East,Product B,11620.071021145754,169
2023-03-25,West,Product A,11695.501902857453,56
2023-03-26,North,Product C,11722.67012454971,107
2023-03-26,South,Product C,12082.240349763688,446
2023-03-26,East,Product A,13920.779703352502,206
2023-03-26,West,Product C,11344.678980772738,133
2023-03-27,North,Product A,11964.610257889395,431
2023-03-27,South,Product A,8983.669964077555,352
2023-03-27,East,Product B,11206.467463395362,196
2023-03-27,West,Product C,11984.754201897684,211
2023-03-28,North,Product C,13135.989783956074,257
2023-03-28,South,Product A,10592.741253300886,194
2023-03-28,East,Product C,8163.929498569278,436
2023-03-28,West,Product D,12724.47403120623,365
2023-03-29,North,Product D,16140.19042955656,277
2023-03-29,South,Product D,10646.08136339783,368
2023-03-29,East,Product B,12482.713769265276,393
2023-03-29,West,Product A,11714.74306680654,121
2023-03-30,North,Product B,12692.702110326445,415
2023-03-30,South,Product D,14199.324185919351,151
2023-03-30,East,Product C,12696.230411682192,137
2023-03-30,West,Product B,11271.850891342494,135
2023-03-31,North,Product D,8597.522002982805,465
2023-03-31,South,Product B,12706.312682074753,466
2023-03-31,East,Product C,13179.140378131877,243
2023-03-31,West,Product B,13524.351040224525,424
2023-04-01,North,Product A,12617.452464434746,172
2023-04-01,South,Product B,10765.756814509026,253
2023-04-01,East,Product B,13756.153312098248,133
2023-04-01,West,Product C,11979.0822921982,133
2023-04-02,North,Product B,16500.36340234125,459
2023-04-02,South,Product D,11372.089332221369,411
2023-04-02,East,Product D,12765.057413031473,136
2023-04-02,West,Product C,16029.009503898029,171
2023-04-03,North,Product A,7593.248996777324,441
2023-04-03,South,Product D,13899.473846545921,356
2023-04-03,East,Product D,13085.668895488257,410
2023-04-03,West,Product C,11129.5277493657,84
2023-04-04,North,Product C,8763.764928176635,402
2023-04-04,South,Product A,12366.886625866267,208
2023-04-04,East,Product A,12581.757800048905,53
2023-04-04,West,Product D,14410.030711229549,201
2023-04-05,North,Product A,18844.71911436366,469
2023-04-05,South,Product D,11170.818720767715,115
2023-04-05,East,Product C,14195.549078595504,475
2023-04-05,West,Product B,7625.219889052494,89
2023-04-06,North,Product B,12755.57322299366,57
2023-04-06,South,Product B,10576.151125926703,477
2023-04-06,East,Product A,7581.282365291427,374
2023-04-06,West,Product B,10420.770166003364,365
2023-04-07,North,Product C,10318.514409662745,133
2023-04-07,South,Product C,11482.878636285375,394
2023-04-07,East,Product D,13026.972099036133,489
2023-04-07,West,Product C,9488.459381604316,444
2023-04-08,North,Product D,13840.677316262723,142
2023-04-08,South,Product A,12008.753653124515,182
2023-04-08,East,Product A,9864.931536130975,362
2023-04-08,West,Product A,10952.832456955282,156
2023-04-09,North,Product A,15292.080839758795,354
2023-04-09,South,Product D,13242.018746613692,416
2023-04-09,East,Product A,12456.143911944298,453
2023-04-09,West,Product C,11853.954267566252,342
2023-04-10,North,Product A,9799.174298165985,108
2023-04-10,South,Product B,8082.233821251875,61
2023-04-10,East,Product A,13044.412377263934,88
2023-04-10,West,Product B,7205.499353472273,456
2023-04-11,North,Product D,11935.646282670637,175
2023-04-11,South,Product B,11028.370962486455,429
2023-04-11,East,Product D,10975.14207790475,407
2023-04-11,West,Product B,12244.1833455961,242
2023-04-12,North,Product A,15975.92689879263,75
2023-04-12,South,Product D,14302.407838730192,377
2023-04-12,East,Product B,12900.10202262875,102
2023-04-12,West,Product B,16469.930237370125,269
2023-04-13,North,Product C,10119.177109743821,122
2023-04-13,South,Product C,12077.874457701906,373
2023-04-13,East,Product D,14611.656926398626,151
2023-04-13,West,Product A,12623.749455558444,328
2023-04-14,North,Product D,12766.956678465129,359
2023-04-14,South,Product A,12988.340688603297,125
2023-04-14,East,Product C,17228.29491134299,365
2023-04-14,West,Product D,16436.166737005973,340
2023-04-15,North,Product B,15661.649338821637,499
2023-04-15,South,Product B,8384.919611241814,377
2023-04-15,East,Product A,14082.479430307909,270
2023-04-15,West,Product B,7777.66407042336,353
2023-04-16,North,Product C,17902.07524468819,92
2023-04-16,South,Product B,13830.910410505618,413
2023-04-16,East,Product A,13321.311437725517,341
2023-04-16,West,Product B,12917.249865096483,383
2023-04-17,North,Product D,10110.363932215114,76
2023-04-17,South,Product D,13597.11108827647,193
2023-04-17,East,Product B,11295.425486498738,482
2023-04-17,West,Product D,11067.691569217266,123
2023-04-18,North,Product C,12486.75923318954,361
2023-04-18,South,Product D,12489.855695374466,85
2023-04-18,East,Product B,10876.694739349092,434
2023-04-18,West,Product C,7923.178323195859,428
2023-04-19,North,Product B,15372.16140097684,58
2023-04-19,South,Product A,11895.715301781349,174
2023-04-19,East,Product A,12707.318932859818,203
2023-04-19,West,Product D,9026.126370340022,68
2023-04-20,North,Product A,14220.083169115082,195
2023-04-20,South,Product C,12296.630239756616,291
2023-04-20,East,Product D,10380.739333874837,275
2023-04-20,West,Product B,10683.683684582493,481
2023-04-21,North,Product C,9456.504518836604,209
2023-04-21,South,Product A,12178.983610286261,490
2023-04-21,East,Product C,12310.21589921448,312
2023-04-21,West,Product B,14474.559042918405,174
2023-04-22,North,Product C,15184.482226428809,329
2023-04-22,South,Product C,15825.776325442352,158
2023-04-22,East,Product A,9476.62346764224,245
2023-04-22,West,Product D,12808.684942941149,54
2023-04-23,North,Product D,10992.393123176262,279
2023-04-23,South,Product D,15430.78942932318,430
2023-04-23,East,Product B,10264.581830849473,264
2023-04-23,West,Product C,7841.125939318452,403
2023-04-24,North,Product B,8791.023742773757,349
2023-04-24,South,Product C,14700.022868283142,257
2023-04-24,East,Product C,6800.183801921608,449
2023-04-24,West,Product B,12747.205042231435,286
2023-04-25,North,Product B,12825.332999370643,198
2023-04-25,South,Product D,10970.63197917525,280
2023-04-25,East,Product D,14301.907308017564,87
2023-04-25,West,Product A,10893.547747718874,115
2023-04-26,North,Product A,8082.25111515237,498
2023-04-26,South,Product C,7949.862705257263,203
2023-04-26,East,Product C,17374.577639396543,455
2023-04-26,West,Product A,12248.204629134574,293
2023-04-27,North,Product C,11884.050052165281,207
2023-04-27,South,Product D,13767.629232819141,63
2023-04-27,East,Product B,10313.549924318902,396
2023-04-27,West,Product D,13589.561114821132,305
2023-04-28,North,Product A,13542.153907774373,359
2023-04-28,South,Product A,9716.950774416051,159
2023-04-28,East,Product B,12055.673198757413,74
2023-04-28,West,Product A,11903.556996419093,74
2023-04-29,North,Product D,11754.380607340992,337
2023-04-29,South,Product C,10302.818922473583,383
2023-04-29,East,Product C,12891.415205519106,439
2023-04-29,West,Product C,12856.439819519226,54
2023-04-30,North,Product B,14768.009402769696,431
2023-04-30,South,Product A,10614.488659975288,205
2023-04-30,East,Product D,10781.657963482805,449
2023-04-30,West,Product C,10558.223351046796,89
2023-05-01,North,Product D,15318.230719319034,270
2023-05-01,South,Product C,17576.89112269075,227
2023-05-01,East,Product C,10683.590497799212,204
2023-05-01,West,Product A,13074.509249938546,135
2023-05-02,North,Product B,10174.372206231144,128
2023-05-02,South,Product D,15837.275769125796,472
2023-05-02,East,Product B,13033.174097561467,291
2023-05-02,West,Product A,12331.247468153055,222
2023-05-03,North,Product A,11507.339901649391,237
2023-05-03,South,Product D,16926.726936760544,232
2023-05-03,East,Product B,13218.070056704299,281
2023-05-03,West,Product A,15354.659996254091,471
2023-05-04,North,Product A,12761.281328656556,154
2023-05-04,South,Product A,11330.085995604246,178
2023-05-04,East,Product D,12491.728730355386,493
2023-05-04,West,Product C,14105.536434146128,339
2023-05-05,North,Product A,7227.587253573614,128
2023-05-05,South,Product A,14328.507128358498,118
2023-05-05,East,Product A,16032.903908767952,57
2023-05-05,West,Product D,12504.039060417708,201
2023-05-06,North,Product D,11424.825373380101,363
2023-05-06,South,Product D,12699.262202000367,448
2023-05-06,East,Product A,7866.077399056063,399
2023-05-06,West,Product D,11412.579219687115,269
2023-05-07,North,Product D,13165.48652246331,458
2023-05-07,South,Product A,12053.862196139087,427
2023-05-07,East,Product B,13356.479446012516,198
2023-05-07,West,Product B,10292.897858757175,423
2023-05-08,North,Product D,13276.286972475946,337
2023-05-08,South,Product B,12154.917805606763,320
2023-05-08,East,Product A,10913.3501859106,202
2023-05-08,West,Product B,9101.178093800401,163
2023-05-09,North,Product B,11725.119776636388,162
